Data Upto:01-15-2022
Date,Strike,Call OI, Put OI, normalized CallOI,normalized Put OI
2021-12-10T00:00:00,650,77,4055,0.004198244370535958,0.05123054376389731
2021-12-10T00:00:00,700,161,8685,0.008778147320211548,0.10972559126743481
2021-12-10T00:00:00,710,29,3425,0.0015811569707213347,0.04327117444916111
2021-12-10T00:00:00,720,34,400,0.001853770241535358,0.00505356781888013
2021-12-10T00:00:00,730,20,437,0.001090453083256093,0.005521022842126542
2021-12-10T00:00:00,740,13,429,0.0007087945041164604,0.005419951485748939
2021-12-10T00:00:00,750,266,7236,0.014503026007306036,0.09141904184354153
2021-12-10T00:00:00,760,187,1241,0.010195736328444468,0.0156786941580756
2021-12-10T00:00:00,770,84,2433,0.00457990294967559,0.030738326258338385
2021-12-10T00:00:00,780,61,1685,0.0033258819039310833,0.021288154437032546
2021-12-10T00:00:00,790,69,2097,0.0037620631372335205,0.026493329290479078
2021-12-10T00:00:00,800,195,10184,0.010631917561746905,0.12866383666868808
2021-12-10T00:00:00,810,120,2186,0.006542718499536557,0.027617748130179906
2021-12-10T00:00:00,820,159,3089,0.008669102011885938,0.0390261774813018
2021-12-10T00:00:00,830,112,2266,0.00610653726623412,0.028628461693955932
2021-12-10T00:00:00,840,134,2111,0.007306035657815822,0.02667020416413988
2021-12-10T00:00:00,850,233,9955,0.012703778419933483,0.12577066909237922
2021-12-10T00:00:00,860,226,1432,0.01232211984079385,0.018091772791590865
2021-12-03T00:00:00,865,99,953,0.00539774276211766,0.012040125328481909
2021-12-10T00:00:00,870,346,2199,0.018864838340330408,0.02778198908429351
2021-12-03T00:00:00,875,423,2404,0.023063082710866364,0.030371942591469577
2021-12-10T00:00:00,880,492,2750,0.026825145848099887,0.03474327875480089
2021-12-03T00:00:00,885,54,1029,0.002944223324791451,0.013000303214069133
2021-12-10T00:00:00,890,464,6813,0.025298511531541355,0.0860748938750758
2021-12-03T00:00:00,895,133,4394,0.007251513003653018,0.05551344249039822
2021-12-10T00:00:00,900,1293,23767,0.0704977918325064,0.3002703658783101
2021-12-03T00:00:00,905,105,3672,0.005724878687094488,0.04639175257731959
2021-12-10T00:00:00,910,424,8241,0.02311760536502917,0.10411613098847787
2021-12-03T00:00:00,915,74,4223,0.004034676408047544,0.053353042247826964
2021-12-10T00:00:00,920,370,12194,0.02017338204023772,0.15405801495856075
2021-12-03T00:00:00,925,254,5465,0.01384875415735238,0.06904437032544977
2021-12-10T00:00:00,930,222,3061,0.012104029224142632,0.03867242773398019
2021-12-03T00:00:00,935,177,1492,0.009650509786816423,0.01884980796442288
2021-12-10T00:00:00,940,308,5373,0.016792977482143832,0.06788204972710733
2021-12-10T00:00:00,950,3041,18756,0.16580339130908892,0.23696179502728926
2021-12-10T00:00:00,960,455,8460,0.024807807644076113,0.10688295936931473
2021-12-10T00:00:00,970,1662,3368,0.09061665121858133,0.04255104103497069
2021-12-10T00:00:00,975,550,2591,0.029987459789542554,0.03273448554679604
2021-12-10T00:00:00,980,2420,4701,0.13194482307398725,0.05939205579138872
2021-12-10T00:00:00,985,465,2011,0.02535303418570416,0.02540681220941985
2021-12-10T00:00:00,990,1887,3877,0.10288424840521236,0.04898170608449565
2021-12-10T00:00:00,995,592,5921,0.03227741126438035,0.07480543763897311
2021-12-10T00:00:00,1000,5348,14120,0.29158715446267924,0.17839094400646857
2021-12-10T00:00:00,1005,936,3300,0.05103320429638515,0.041691934505761065
2021-12-10T00:00:00,1010,1774,2225,0.09672318848481544,0.02811047099252072
2021-12-10T00:00:00,1015,1398,2342,0.0762226705196009,0.029588639579543156
2021-12-10T00:00:00,1020,4666,3870,0.2544027043236465,0.04889326864766525
2021-12-10T00:00:00,1025,2784,1917,0.15179106918924815,0.02421922377198302
2021-12-10T00:00:00,1030,4995,3106,0.2723406575432092,0.039240954113604204
2021-12-10T00:00:00,1035,1647,1757,0.08979881140613925,0.02219779664443097
2021-12-10T00:00:00,1040,4919,4627,0.26819693582683607,0.0584571457448959
2021-12-10T00:00:00,1045,2627,2631,0.14323101248568781,0.03323984232868405
2021-12-10T00:00:00,1050,8906,4587,0.4855787579739382,0.057951788963007886
2021-12-10T00:00:00,1055,4289,761,0.23384766370426913,0.009614412775419447
2021-12-10T00:00:00,1060,4338,1498,0.23651927375824655,0.018925611481706083
2021-12-10T00:00:00,1065,2799,649,0.1526089090016902,0.00819941378613301
2021-12-10T00:00:00,1070,2853,1777,0.15555313232648166,0.022450475035374975
2021-12-10T00:00:00,1075,2687,845,0.14650237173545608,0.010675662017384274
2021-12-10T00:00:00,1080,5959,4116,0.3249004961561529,0.052001212856276534
2021-12-10T00:00:00,1085,3019,529,0.1646038929175072,0.006683343440468971
2021-12-10T00:00:00,1090,2977,1060,0.16231394144266942,0.013391954720032342
2021-12-10T00:00:00,1095,1935,3569,0.10550133580502699,0.045090458863957954
2021-12-10T00:00:00,1100,16573,6229,0.9036039474401614,0.07869668485951081
2021-12-10T00:00:00,1105,1865,683,0.10168475001363067,0.008628967050737821
2021-12-10T00:00:00,1110,3586,924,0.19551823782781746,0.011673741661613099
2021-12-10T00:00:00,1115,1481,532,0.08074805081511369,0.0067212451991105725
2021-12-10T00:00:00,1120,3967,4769,0.21629136906384602,0.060251162320598343
2021-12-10T00:00:00,1125,3180,4283,0.17338204023771878,0.05411107742065899
2021-12-10T00:00:00,1130,2548,3156,0.13892372280682624,0.03987265009096422
2021-12-10T00:00:00,1135,1114,467,0.06073823673736437,0.005900040428542551
2021-12-10T00:00:00,1140,2058,323,0.11220762226705196,0.004080756013745705
